TypeInput	RA	DE	Plx	e_Plx	RV	e_RV	RVdist	pmRA	e_pmRA	pmDE	e_pmDE	Source
1	05 30 27.228	43 26 27.246	0.20549764	0.0213	0	0	0	2.792	0.023	-2.411	0.018	195675823795728000
1	05 30 26.650	43 26 37.209	0.21389119	0.0170	0	0	0	-0.379	0.019	-0.492	0.014	195675823788024704
1	05 28 12.614	42 56 20.883	0.32726984	0.0176	0	0	0	-0.635	0.019	-2.445	0.015	195448778935800960
1	05 23 44.361	42 29 50.029	0.34136357	0.0141	0	0	0	0.718	0.017	-1.133	0.013	195246056479667072
1	05 27 06.431	43 01 57.231	0.35339762	0.0177	0	0	0	-0.571	0.021	-1.438	0.016	195639883501636224
1	05 24 22.665	42 36 46.115	0.39474081	0.0164	0	0	0	1.107	0.021	-1.681	0.016	195252752333423360
1	05 26 25.171	43 49 52.652	0.35976348	0.0165	0	0	0	-0.646	0.017	-2.119	0.014	207755024171185536
1	05 30 16.647	42 46 56.547	0.21505180	0.0130	0	0	0	1.019	0.016	-0.472	0.012	195410223011686144
1	05 28 52.696	43 17 19.382	0.39287534	0.0138	0	0	0	0.974	0.017	-1.471	0.013	195668264645564928
1	05 26 02.272	43 13 15.139	0.30621852	0.0130	0	0	0	5.030	0.015	-2.565	0.012	195702074631177856
1	05 23 58.471	42 35 18.056	0.35108381	0.0132	0	0	0	0.164	0.016	-0.999	0.013	195258494704854144
1	05 22 43.527	42 44 42.219	0.28902071	0.0149	0	0	0	4.497	0.020	-3.085	0.014	195289723408885248
1	05 29 59.168	42 16 43.280	0.36982325	0.0169	0	0	0	0.033	0.019	-1.281	0.015	194626584756070784
1	05 29 26.615	43 22 20.887	0.38426272	0.0138	0	0	0	0.949	0.018	-2.036	0.013	195668956138965504
1	05 30 13.476	43 31 58.668	0.35121639	0.0170	0	0	0	7.482	0.020	-5.923	0.015	195688953506623872
1	05 23 48.182	43 06 51.436	0.25529860	0.0157	0	0	0	-0.759	0.019	-0.884	0.014	195333398934162560
1	05 23 35.041	43 20 56.909	0.28570705	0.0147	0	0	0	-0.123	0.017	-1.835	0.014	207349961514354432
1	05 29 30.068	43 04 09.999	0.39394449	0.0169	0	0	0	0.523	0.018	-1.367	0.014	195471009686475008
1	05 25 48.633	41 56 56.341	0.38161282	0.0163	0	0	0	0.370	0.020	-1.585	0.015	194973991771854080
1	05 26 10.651	42 18 58.270	0.38402922	0.0169	0	0	0	-0.716	0.021	-1.009	0.017	195415308254932480
1	05 29 13.605	42 47 50.653	0.24751171	0.0137	0	0	0	-0.766	0.016	0.087	0.012	195452760367762176
1	05 31 23.200	42 46 43.538	0.37938990	0.0170	0	0	0	-0.023	0.020	-0.794	0.015	195489873183359488
1	05 22 12.564	42 19 38.816	0.24497896	0.0141	0	0	0	0.294	0.017	-1.312	0.013	195230315421281024
1	05 22 40.125	42 27 49.062	0.38764543	0.0163	0	0	0	0.428	0.022	-1.427	0.016	195233480815544576
1	05 22 26.515	43 04 45.790	0.33960123	0.0195	0	0	0	1.620	0.023	-2.171	0.016	207319415707164544
1	05 28 45.788	43 28 29.918	0.32905413	0.0150	0	0	0	1.025	0.018	-2.239	0.014	195685654971307008
1	05 23 36.060	43 06 11.331	0.28629815	0.0164	0	0	0	1.246	0.018	-2.154	0.014	195333532074116736
1	05 26 39.946	41 58 48.636	0.27124644	0.0146	0	0	0	0.278	0.016	-1.127	0.013	195345665361952896
1	05 26 40.250	43 19 07.104	0.20352724	0.0159	0	0	0	0.329	0.021	-0.732	0.015	195702796182622848
1	05 22 14.984	43 28 45.720	0.20083364	0.0167	0	0	0	0.256	0.019	-0.977	0.016	207413041694802560
1	05 30 19.010	43 31 45.412	0.35285867	0.0220	0	0	0	2.449	0.025	-4.334	0.020	195688914848340992
1	05 24 37.965	43 14 49.093	0.35809530	0.0149	0	0	0	0.998	0.021	-1.871	0.016	195341709691870592
1	05 24 12.944	42 31 34.909	0.39327039	0.0160	0	0	0	0.512	0.021	-2.006	0.016	195245644163383808
1	05 28 38.032	42 28 43.825	0.25234552	0.0174	0	0	0	-0.283	0.020	-0.799	0.016	195374110926649984
1	05 24 17.926	42 07 30.427	0.32647411	0.0153	0	0	0	-0.637	0.018	-1.938	0.013	195035225124601856
1	05 29 58.515	43 01 25.746	0.31434059	0.0178	0	0	0	-0.999	0.023	-1.798	0.016	195463892922989952
1	05 25 07.819	42 08 17.251	0.36232637	0.0264	0	0	0	-0.991	0.029	-1.145	0.023	195037454208606464
1	05 29 19.164	42 28 35.074	0.26315108	0.0170	0	0	0	1.386	0.019	-0.341	0.015	195385110341158912
1	05 29 46.422	43 07 16.570	0.35937107	0.0254	0	0	0	-0.579	0.026	-2.053	0.019	195479973279700736
1	05 29 19.167	43 15 50.849	0.21515853	0.0281	0	0	0	0.420	0.030	-1.803	0.024	195664485074346624
