TypeInput	RA	DE	Plx	e_Plx	RV	e_RV	RVdist	pmRA	e_pmRA	pmDE	e_pmDE	Source
1	05 28 45.466	42 32 34.976	0.28327869	0.0213	0	0	0	0.057	0.025	-2.322	0.020	195400915820822528
1	05 25 02.343	42 47 06.880	0.31640898	0.0155	0	0	0	-0.249	0.019	-3.467	0.015	195267806193679232
1	05 25 51.556	43 37 22.787	0.30979773	0.0164	0	0	0	0.843	0.020	-1.997	0.015	207735164245063680
1	05 24 15.866	43 18 41.399	0.32728629	0.0135	0	0	0	1.336	0.017	0.634	0.014	207351164105710464
1	05 23 27.448	42 27 49.931	0.30584095	0.0125	0	0	0	1.330	0.016	-1.431	0.012	195244441572008576
1	05 27 02.752	43 28 52.854	0.30206325	0.0144	0	0	0	0.508	0.017	-1.941	0.012	195722449952958464
1	05 22 17.962	43 22 39.590	0.22401671	0.0150	0	0	0	0.901	0.018	-0.531	0.013	207364667482470400
1	05 23 06.344	42 25 54.593	0.31771033	0.0140	0	0	0	0.603	0.017	-1.798	0.013	195255711566245248
1	05 27 36.737	42 26 29.561	0.32563219	0.0169	0	0	0	1.670	0.017	-0.568	0.013	195376348608036992
1	05 24 47.928	42 04 19.295	0.32773079	0.0147	0	0	0	1.156	0.017	-2.335	0.013	195036152837526656
1	05 23 37.441	43 35 44.294	0.22046252	0.0169	0	0	0	1.421	0.022	-1.142	0.018	207373669733724928
1	05 23 29.998	42 12 51.024	0.31881364	0.0138	0	0	0	0.442	0.017	-1.345	0.012	195050240330287104
1	05 26 21.429	42 52 54.164	0.30006317	0.0138	0	0	0	0.962	0.017	-1.987	0.012	195632844054160256
1	05 26 55.080	41 57 36.173	0.30960826	0.0139	0	0	0	0.320	0.016	-2.887	0.013	195346180758020992
1	05 29 56.152	43 07 48.588	0.26631600	0.0190	0	0	0	0.097	0.018	-3.457	0.013	195477091360148224
1	05 24 39.494	43 06 06.773	0.31113425	0.0140	0	0	0	1.461	0.016	-2.706	0.013	195325285736908672
1	05 21 43.362	42 45 59.026	0.29911775	0.0134	0	0	0	0.686	0.017	-1.993	0.013	195301646240348544
1	05 23 51.966	42 12 16.697	0.24961570	0.0164	0	0	0	0.061	0.020	-0.398	0.014	195048208809724672
1	05 23 26.207	42 23 02.805	0.26184080	0.0138	0	0	0	0.296	0.018	-0.274	0.013	195243101542793216
1	05 21 42.499	42 39 03.261	0.22565941	0.0168	0	0	0	0.803	0.023	-1.245	0.016	195288074143501312
1	05 25 58.785	43 17 24.329	0.29952959	0.0149	0	0	0	0.265	0.018	-2.644	0.013	195703449020710656
